Nome Comercial;Princípio Ativo;Fabricante
Fezan Gold;Clorotalonil + Tiofanato-metílico;Adama
Fezan Gold;Clorotalonil + Tiofanato-metílico;Adama
Finale;Glufosinato de amônio;BASF
Finale;Glufosinato de amônio;BASF
Finale;Glufosinato de amônio;BASF
Fipronil Alta;Fipronil;Alta
Fixade;Adjuvante adesivo;AllierBrasil
Flex;Fomesafem;Syngenta
Fluazinam Fersol;Fluazinam;Fersol
Folicur;Tebuconazol;Bayer
Folicur;Tebuconazol;Bayer
Folicur;Tebuconazol;Bayer
Fosfito de Cobre;Fosfito + cobre;Diversos
Fosfito de Cobre;Fosfito + cobre;Diversos
Fosfito de Manganês;Fosfito + manganês;Diversos
Fosfito de Potássio;Fosfito;Diversos
Fosfito de Potássio;Fosfito;Diversos
Fosfito de Zinco;Fosfito + zinco;Diversos
Fosfito de Zinco;Fosfito + zinco;Diversos
Fox Xpro;Bixafem + Protioconazol + Trifloxistrobina;Bayer
Fox Xpro;Bixafem + Protioconazol + Trifloxistrobina;Bayer
Fox Xpro;Bixafem + Protioconazol + Trifloxistrobina;Bayer
Fulltec Café;Nutrição foliar café;Fulltec
Fulltec Café;Nutrição foliar café;Fulltec
Fulltec Citrus;Nutrição foliar;Fulltec
Fulltec Mais;Aminoácidos + micronutrientes;Fulltec
Fulltec Mais;Aminoácidos + micronutrientes;Fulltec
Fusão EC;Metominostrobina + Tebuconazol;IHARA
Fusão EC;Metominostrobina + Tebuconazol;IHARA
Fusilade;Fluazifope-P-butílico;Syngenta
Fusilade;Fluazifope-P-butílico;Syngenta
Fusilade;Fluazifope-P-butílico;Syngenta
Galil;Imidacloprido + Bifentrina;Adama
Galil;Imidacloprido + Bifentrina;Adama
Galil;Imidacloprido + Bifentrina;Adama
Gamit;Clomazona;FMC
Gamit;Clomazona;FMC
Gamit;Clomazona;FMC
Gesaprim;Atrazina;Syngenta
Gesaprim;Atrazina;Syngenta
Gliz 480 SL;Glifosato;Adama
Gliz 480 SL;Glifosato;Adama
Gliz 480 SL;Glifosato;Adama
Goal BR;Oxifluorfem;Corteva
Goal BR;Oxifluorfem;Corteva
Goal BR;Oxifluorfem;Corteva
Gramocil;Paraquate;Rainbow
Gramoxone;Paraquate;Syngenta
Gramoxone;Paraquate;Syngenta
Gramoxone;Paraquate;Syngenta
Haiten;Espalhante adesivo;Ihara
Haiten;Espalhante adesivo;IHARA
Heat;Saflufenacil;BASF
Heat;Saflufenacil;BASF
Heat;Saflufenacil;BASF
Hold;Aminoácidos;Stoller
Hold;Aminoácidos;Stoller
Horos;Mancozebe;UPL
Horos;Mancozebe;UPL
Horos;Mancozebe;UPL
Hyvar;Bromacil;UPL
Hyvar;Bromacil;UPL
Iharol;Óleo mineral;IHARA
Iharol;Óleo mineral;IHARA
Impact;Flutriafol;Cheminova
Impact;Flutriafol;Cheminova
Impact;Flutriafol;Cheminova
Joint Oil;Óleo vegetal;AllierBrasil
Joint Oil;Óleo vegetal;AllierBrasil
Kanemite;Acequinocil;IHARA
Kanemite;Acequinocil;IHARA
Karate Zeon;Lambda-cialotrina;Syngenta
Karate Zeon;Lambda-cialotrina;Syngenta
Karate Zeon;Lambda-cialotrina;Syngenta
Kendal;Bioativador vegetal;Valagro
Kendal;Bioativador vegetal;Valagro
Kifix;Imazapir + Imazapique;BASF
Kifix;Imazapir + Imazapique;BASF
Kifix;Imazapir + Imazapique;BASF
Kocide;Hidróxido de cobre;Corteva
Kocide;Hidróxido de cobre;Corteva
Kocide;Hidróxido de cobre;Corteva
Krista K Plus;Nitrato de potássio;Yara
Krista MAP;MAP solúvel;Yara
Krista MgS;Sulfato de magnésio;Yara
Krista SOP;Sulfato de potássio;Yara
Kumulus;Enxofre;BASF
Kumulus;Enxofre;BASF
Kymon Plus;Regulador vegetal;Arysta
Kymon Plus;Regulador vegetal;Arysta
Lannate;Metomil;Corteva
Lannate;Metomil;Corteva
Lannate;Metomil;Corteva
Lanzar;Óleo mineral;Sipcam Nichino
Lanzar;Óleo mineral;Sipcam Nichino
LI-700;Lecitina + ácido propiônico;De Sangosse
LI-700;Lecitina + ácido propiônico;De Sangosse
Liberty;Glufosinato de amônio;BASF
Liberty;Glufosinato de amônio;BASF
Lorsban;Clorpirifós;Corteva
Lorsban;Clorpirifós;Corteva
Lorsban;Clorpirifós;Corteva
Manni-Plex Boro;Boro complexado;Valagro
Manni-Plex Cálcio;Cálcio complexado;Valagro
Manni-Plex Zinco;Zinco complexado;Valagro
MAP Purificado;Monoamônio fosfato;Diversos
MAP Purificado;Monoamônio fosfato;Diversos
Marshal;Carbossulfano;FMC
Marshal;Carbossulfano;FMC
Marshal;Carbossulfano;FMC
Mastermins Plus;Aminoácidos + micronutrientes;Masterraiz
Mastermins Plus;Aminoácidos + micronutrientes;Masterraiz
Match;Lufenuron;Syngenta
Match;Lufenuron;Syngenta
Match;Lufenuron;Syngenta
MC Extra;Extrato de algas;Valagro
Megafol;Aminoácidos + potássio;Valagro
Megafol;Aminoácidos + potássio;Valagro
Mineral Oil Nortox;Óleo mineral;Nortox
MKP;Monofosfato de potássio;Diversos
MKP;Monofosfato de potássio;Diversos
Molibdato de Sódio;Molibdênio;Diversos
Molibdato de Sódio;Molibdênio;Diversos
Nativo;Trifloxistrobina + Tebuconazol;Bayer
Nativo;Trifloxistrobina + Tebuconazol;Bayer
Nativo;Trifloxistrobina + Tebuconazol;Bayer
Natur'l Óleo;Óleo vegetal;Stoller
Natur'l Óleo;Óleo vegetal;Stoller
Natur'l Óleo;Óleo vegetal;Stoller
Nimbus;Óleo mineral;FMC
Nimbus;Óleo mineral;FMC
Nimbus;Óleo mineral;FMC
Nimitz;Fluensulfona;Adama
Nimitz;Fluensulfona;Adama
Nitrato de Cálcio;Cálcio + nitrogênio;Diversos
Nitrato de Cálcio;Cálcio + Nitrogênio;Diversos
Nitrato de Potássio;Potássio + nitrogênio;Diversos
Nitrato de Potássio;Potássio + Nitrogênio;Diversos
Nomolt;Teflubenzurom;BASF
Nomolt;Teflubenzurom;BASF
Nomolt;Teflubenzurom;BASF
Nutrex Premium;Aminoácidos + nutrientes;Heringer
Oberon;Espiromesifeno;Bayer
Oberon;Espiromesifeno;Bayer
Oberon;Espiromesifeno;Bayer
Oberon;Espiromesifeno;Bayer
Omite;Propargite;Adama
Omite;Propargite;Adama
Opera;Piraclostrobina + Epoxiconazol;BASF
Opera;Piraclostrobina + Epoxiconazol;BASF
Opera;Piraclostrobina + Epoxiconazol;BASF
Oppa BR;Óleo vegetal;Oxiquímica
Oppa BR;Óleo vegetal;Oxiquímica
Orkestra SC;Fluxapiroxade + Piraclostrobina;BASF
Orkestra SC;Fluxapiroxade + Piraclostrobina;BASF
Orkestra SC;Fluxapiroxade + Piraclostrobina;BASF
Oro Solve;Limoneno + óleo vegetal;Oro Agri
Oro Solve;Limoneno + óleo vegetal;Oro Agri
Orobor N1;Óleo vegetal;Oro Agri
Orobor N1;Óleo vegetal;Oro Agri
Orthene;Acefato;UPL
Orthene;Acefato;UPL
Orthene;Acefato;UPL
Ortus;Fenpiroximato;IHARA
Ortus;Fenpiroximato;IHARA
Perito;Acefato;Nortox
Pirate;Clorfenapir;BASF
Pirate;Clorfenapir;BASF
Pirate;Clorfenapir;BASF
Pivot;Imazetapir;BASF
Pivot;Imazetapir;BASF
Pivot;Imazetapir;BASF
Pivot 100 SL;Imazetapir;BASF
Plateau;Imazapique;BASF
Plateau;Imazapique;BASF
Plateau;Imazapique;BASF
Plateau WG;Imazapique;BASF
Poast;Sethoxydim;BASF
Poast;Sethoxydim;BASF
Poast;Sethoxydim;BASF
Polaris;Glifosato;Nortox
Polaris;Glifosato;Nortox
Polo 500 SC;Diafentiurom;Syngenta
Polo 500 SC;Diafentiurom;Syngenta
Polo 500 SC;Diafentiurom;Syngenta
Polo 500 SC;Diafentiurom;Syngenta
Polytrin;Profenofós + Cipermetrina;Syngenta
Polytrin;Profenofós + Cipermetrina;Syngenta
Polytrin;Profenofós + Cipermetrina;Syngenta
Premio;Clorantraniliprole;Corteva
Premio;Clorantraniliprole;Corteva
Premio;Clorantraniliprole;Corteva
Premio Star;Clorantraniliprole + Cipermetrina;Corteva
Primoleo;Atrazina;Ourofino
Primoleo;Atrazina;Ourofino
Priori Top;Azoxistrobina + Difenoconazol;Syngenta
Priori Top;Azoxistrobina + Difenoconazol;Syngenta
Priori Top;Azoxistrobina + Difenoconazol;Syngenta
Priori Xtra;Azoxistrobina + Ciproconazol;Syngenta
Priori Xtra;Azoxistrobina + Ciproconazol;Syngenta
Priori Xtra;Azoxistrobina + Ciproconazol;Syngenta
Raizal;Extrato vegetal;Tradecorp
Raizal;Extrato vegetal;Tradecorp
Recop;Oxicloreto de cobre;Sipcam Nichino
Recop;Oxicloreto de cobre;Sipcam Nichino
Regent 800 WG;Fipronil;BASF
Regent 800 WG;Fipronil;BASF
Regent Duo;Fipronil + Alfa-cipermetrina;BASF
Regent Duo;Fipronil + Alfa-cipermetrina;BASF
Regent Duo;Fipronil + Alfa-cipermetrina;BASF
Reglone;Diquate;Syngenta
Reglone;Diquate;Syngenta
Rexene;Quelato EDTA;Valagro
Rexolin Fe;Ferro quelatizado;Nouryon
Rexolin Mn;Manganês quelatizado;Nouryon
Rexolin Zn;Zinco quelatizado;Nouryon
Rexolin Zn;Zinco quelatizado;Nouryon
Roundup Original DI;Glifosato;Bayer
Roundup Original DI;Glifosato;Bayer
Roundup Original DI;Glifosato;Bayer
Roundup Transorb R;Glifosato;Bayer
Roundup Transorb R;Glifosato;Bayer
Roundup Transorb R;Glifosato;Bayer
Roundup WG;Glifosato;Bayer
Roundup WG;Glifosato;Bayer
Rugby;Cadusafós;FMC
Rugby;Cadusafós;FMC
Sanson;Nicossulfurom;IHARA
Sanson;Nicossulfurom;IHARA
Sanson Evo;Nicossulfurom;IHARA
Savey;Hexitiazoxi;Arysta
Savey;Hexitiazoxi;Arysta
Score Flexi;Difenoconazol;Syngenta
Score Flexi;Difenoconazol;Syngenta
Score Flexi;Difenoconazol;Syngenta
Select;Cletodim;Arysta
Select;Cletodim;Arysta
Select;Cletodim;Arysta
Sencor;Metribuzim;Bayer
Sencor;Metribuzim;Bayer
Sencor;Metribuzim;Bayer
Sett;Extrato de algas;FMC
Sett;Extrato de algas;FMC
Silwet;Organossiliconado;Helena
Speedfol Amino;Aminoácidos;SQM
Speedfol Amino;Aminoácidos;SQM
Speedfol Boro;Boro;SQM
Speedfol Cálcio;Cálcio;SQM
Speedfol Citrus;Nutrição foliar;SQM
Speedfol Citrus;Nutrição foliar;SQM
Sperto;Imidacloprido + Betaciflutrina;Bayer
Sperto;Imidacloprido + Betaciflutrina;Bayer
Sperto;Imidacloprido + Betaciflutrina;Bayer
Sphere Max;Trifloxistrobina + Ciproconazol;Bayer
Sphere Max;Trifloxistrobina + Ciproconazol;Bayer
Sphere Max;Trifloxistrobina + Ciproconazol;Bayer
Spider;Diclosulam;Corteva
Spider;Diclosulam;Corteva
Spider;Diclosulam;Corteva
Starter CoMo;Cobalto + Molibdênio;Stoller
Starter Manganês;Manganês;Stoller
Starter Zinco;Zinco;Stoller
Stimulate;Cinetina + GA3 + AIB;Stoller
Stoller Boro;Boro;Stoller
Stoller Cálcio;Cálcio;Stoller
Stoller Manganês;Manganês;Stoller
Stoller Zinco;Zinco;Stoller
Stratego;Trifloxistrobina + Propiconazol;Bayer
Stratego;Trifloxistrobina + Propiconazol;Bayer
Stratego;Trifloxistrobina + Propiconazol;Bayer
Sugar Mover;Potássio + boro;Stoller
Sulfato de Cobre;Cobre;Diversos
Sulfato de Cobre;Cobre;Diversos
Sulfato de Magnésio;Magnésio;Diversos
Sulfato de Magnésio;Magnésio;Diversos
Sulfato de Manganês;Manganês;Diversos
Sulfato de Manganês;Manganês;Diversos
Sulfato de Zinco;Zinco;Diversos
Sulfato de Zinco;Zinco;Diversos
Sulfato Ferroso;Ferro;Diversos
Sulfocal;Cálcio + enxofre;Diversos
Sulfurgran;Enxofre;Adama
Sulfurgran;Enxofre;Adama
TA-35;Tensoativo agrícola;Oxiquímica
Talisman;Bifentrina + Carbossulfano;FMC
Talisman;Bifentrina + Carbossulfano;FMC
Talisman;Bifentrina + Carbossulfano;FMC
Talstar;Bifentrina;FMC
Talstar;Bifentrina;FMC
Talstar;Bifentrina;FMC
Targa;Quizalofope-P-etílico;FMC
Targa;Quizalofope-P-etílico;FMC
Targa;Quizalofope-P-etílico;FMC
Teccafé;Nutrição café;Agrichem
Tecfruit;Nutrição fruticultura;Agrichem
Tecmilho;Nutrição foliar;Agrichem
Tiger 100 EC;Piriproxifem;IHARA
Tiger 100 EC;Piriproxifem;IHARA
Tiger 100 EC;Piriproxifem;IHARA
Tilt;Propiconazol;Syngenta
Tilt;Propiconazol;Syngenta
Tilt;Propiconazol;Syngenta
Torque;Fenbutatina óxido;FMC
Torque;Fenbutatina óxido;FMC
Tracer;Espinosade;Corteva
Tracer;Espinosade;Corteva
Tracer;Espinosade;Corteva
Triziman;Mancozebe;UPL
Triziman;Mancozebe;UPL
Trop;Glifosato;Nortox
Trop;Glifosato;Nortox
Unizeb Gold;Mancozebe;UPL
Unizeb Gold;Mancozebe;UPL
Unizeb Gold;Mancozebe;UPL
Ureia Agrícola;Nitrogênio;Diversos
Ureia Pecuária;Nitrogênio;Diversos
Veget Oil;Óleo vegetal;Oxiquímica
Veget Oil;Óleo vegetal;Oxiquímica
Veget Oil;Óleo vegetal;Oxiquímica
Velpar;Diuron + Hexazinona;UPL
Velpar;Diuron + Hexazinona;UPL
Verango Prime;Fluopiram;Bayer
Verango Prime;Fluopiram;Bayer
Verdict Max;Haloxifope;Corteva
Verdict Max;Haloxifope;Corteva
Verdict Max;Haloxifope;Corteva
Vertimec;Abamectina;Syngenta
Vertimec;Abamectina;Syngenta
Vertimec;Abamectina;Syngenta
Vertimec;Abamectina;Syngenta
Vertir EC;Abamectina;Nortox
Vessarya;Fluxapiroxade + Piraclostrobina;BASF
Vessarya;Fluxapiroxade + Piraclostrobina;BASF
Viva;Fertilizante foliar;Yara
Wuxal Aminocal;Cálcio + aminoácidos;Nutrien
Wuxal Aminocal;Cálcio + aminoácidos;Nutrien
Wuxal Boro;Boro foliar;Nutrien
Wuxal Boro;Boro foliar;Nutrien
Wuxal Cobre;Cobre foliar;Nutrien
Wuxal Cobre;Cobre foliar;Nutrien
Wuxal K40;Potássio foliar;Nutrien
Wuxal K40;Potássio foliar;Nutrien
Wuxal Zinco;Zinco foliar;Nutrien
Wuxal Zinco;Zinco foliar;Nutrien
YaraVita Bortrac;Boro;Yara
YaraVita Bortrac;Boro;Yara
YaraVita Coptrac;Cobre;Yara
YaraVita Frutrel;Boro + Molibdênio;Yara
YaraVita Mantrac;Manganês;Yara
YaraVita Mantrac;Manganês;Yara
YaraVita Thiotrac;Enxofre;Yara
YaraVita Zintrac;Zinco;Yara
YaraVita Zintrac;Zinco;Yara
Zapp Qi;Glifosato;UPL
Zapp Qi;Glifosato;UPL
Zapp Qi;Glifosato;UPL
Zapp QI 620;Glifosato;UPL
Zeus;Lambda-cialotrina;IHARA
Zeus;Lambda-cialotrina;IHARA
Zeus;Lambda-cialotrina;IHARA
